scope,cabinet,card,contour,group,param,topic
cabinet,01,,,Общее,Авто_режим,/Теплица/Досветка/ЩД/01/Общее/Авто_режим
cabinet,01,,,Общее,Напряжение_L1,/Теплица/Досветка/ЩД/01/Общее/Напряжение_L1
cabinet,01,,,Общее,Напряжение_L2,/Теплица/Досветка/ЩД/01/Общее/Напряжение_L2
cabinet,01,,,Общее,Напряжение_L3,/Теплица/Досветка/ЩД/01/Общее/Напряжение_L3
cabinet,01,,,Общее,Частота,/Теплица/Досветка/ЩД/01/Общее/Частота
cabinet,01,,,Общее,Освещённость,/Теплица/Досветка/ЩД/01/Общее/Освещённость
cabinet,01,,,Общее,Температура,/Теплица/Досветка/ЩД/01/Общее/Температура
cabinet,01,,,Общее,Влажность,/Теплица/Досветка/ЩД/01/Общее/Влажность
cabinet,01,,,Общее,ИБП_Состояние_батареи,/Теплица/Досветка/ЩД/01/Общее/ИБП_Состояние_батареи
cabinet,01,,,Общее,ИБП_Заряд_проц,/Теплица/Досветка/ЩД/01/Общее/ИБП_Заряд_проц
card,01,001,LED,Управление,Включено,/Теплица/Досветка/Карта/001/Контур/LED/Управление/Включено
card,01,001,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/001/Контур/LED/Управление/ШИМ_A
card,01,001,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/001/Контур/LED/Управление/ШИМ_B
card,01,001,LED,Мощность,Вт,/Теплица/Досветка/Карта/001/Контур/LED/Мощность/Вт
card,01,001,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/001/Контур/LED/Электрика/Ток_L1
card,01,001,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/001/Контур/LED/Электрика/Ток_L2
card,01,001,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/001/Контур/LED/Электрика/Ток_L3
card,01,001,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/001/Контур/LED/Электрика/Коэффициент_мощности
card,01,001,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/001/Контур/LED/Энергия/Прямая_активная_кВтч
card,01,001,HPS,Управление,Включено,/Теплица/Досветка/Карта/001/Контур/HPS/Управление/Включено
card,01,001,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/001/Контур/HPS/Управление/ШИМ
card,01,001,HPS,Мощность,Вт,/Теплица/Досветка/Карта/001/Контур/HPS/Мощность/Вт
card,01,001,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/001/Контур/HPS/Электрика/Ток_L1
card,01,001,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/001/Контур/HPS/Электрика/Ток_L2
card,01,001,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/001/Контур/HPS/Электрика/Ток_L3
card,01,001,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/001/Контур/HPS/Электрика/Коэффициент_мощности
card,01,001,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/001/Контур/HPS/Энергия/Прямая_активная_кВтч
card,01,002,LED,Управление,Включено,/Теплица/Досветка/Карта/002/Контур/LED/Управление/Включено
card,01,002,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/002/Контур/LED/Управление/ШИМ_A
card,01,002,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/002/Контур/LED/Управление/ШИМ_B
card,01,002,LED,Мощность,Вт,/Теплица/Досветка/Карта/002/Контур/LED/Мощность/Вт
card,01,002,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/002/Контур/LED/Электрика/Ток_L1
card,01,002,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/002/Контур/LED/Электрика/Ток_L2
card,01,002,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/002/Контур/LED/Электрика/Ток_L3
card,01,002,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/002/Контур/LED/Электрика/Коэффициент_мощности
card,01,002,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/002/Контур/LED/Энергия/Прямая_активная_кВтч
card,01,002,HPS,Управление,Включено,/Теплица/Досветка/Карта/002/Контур/HPS/Управление/Включено
card,01,002,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/002/Контур/HPS/Управление/ШИМ
card,01,002,HPS,Мощность,Вт,/Теплица/Досветка/Карта/002/Контур/HPS/Мощность/Вт
card,01,002,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/002/Контур/HPS/Электрика/Ток_L1
card,01,002,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/002/Контур/HPS/Электрика/Ток_L2
card,01,002,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/002/Контур/HPS/Электрика/Ток_L3
card,01,002,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/002/Контур/HPS/Электрика/Коэффициент_мощности
card,01,002,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/002/Контур/HPS/Энергия/Прямая_активная_кВтч
